ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
362,18.485393,77.39515,11.6,-66.3,6.82,4.15,Negativno,Ne
363,18.477045,77.40813,6.5,-73.5,6.67,3.47,Negativno,Ne
364,18.481006,77.394645,12.7,-51.2,6.94,4.89,Negativno,Ne
365,18.46936,77.380991,5.1,-23.9,6.79,2.34,Negativno,Da
366,18.474015,77.390524,4.0,-43.7,6.51,5.8,Negativno,Ne
367,18.490093,77.380761,0.8,-50.2,6.59,1.22,Negativno,Ne
368,18.492235,77.378684,7.2,-51.2,6.75,2.47,Negativno,Ne
369,18.477064,77.391709,2.2,-39.5,6.29,4.32,Negativno,Ne
370,18.490435,77.399233,0.5,-66.6,7.77,0.43,Negativno,Ne
371,18.494345,77.402882,11.8,-60.5,7.35,2.53,Negativno,Ne
372,18.475414,77.398653,11.2,-18.4,7.22,2.83,Negativno,Ne
373,18.472598,77.385329,10.7,-28.9,7.78,5.67,Negativno,Ne
374,18.473147,77.400332,14.7,-63.1,7.27,3.52,Negativno,Ne
375,18.482311,77.401452,4.5,-42.4,6.69,5.49,Negativno,Ne
376,18.493426,77.380497,14.4,-52.7,6.96,1.84,Negativno,Ne
377,18.460008,77.383516,1.5,-43.8,7.08,3.85,Negativno,Ne
378,18.475235,77.38114,6.3,-68.6,7.57,2.49,Negativno,Ne
379,18.455577,77.388765,4.0,-25.9,6.97,2.29,Negativno,Ne
380,18.482392,77.377578,8.1,-55.1,7.57,1.57,Negativno,Ne
381,18.489339,77.392144,8.8,-78.0,7.05,1.51,Negativno,Ne
382,18.488751,77.392746,12.3,-36.4,8.02,2.73,Negativno,Ne
383,18.481065,77.398933,5.1,-19.9,7.59,2.13,Negativno,Ne
384,18.497615,77.381624,1.1,-40.3,6.48,3.88,Negativno,Ne
385,18.499139,77.39439,2.3,-52.3,6.3,4.19,Negativno,Da
386,18.468362,77.389056,7.0,-79.0,7.07,4.62,Negativno,Ne
387,18.460229,77.378744,10.8,-47.9,6.43,3.36,Negativno,Ne
388,18.464729,77.392979,8.9,-36.7,8.04,3.43,Negativno,Ne
389,18.470441,77.392748,4.4,-38.3,7.35,6.0,Negativno,Ne
390,18.476745,77.391831,6.7,-48.6,6.93,4.73,Negativno,Ne
391,18.46697,77.378094,3.7,-41.4,7.5,4.33,Pozitivno,Ne
392,18.468248,77.39187,2.0,-50.6,6.98,0.9,Negativno,Ne
393,18.477285,77.37477,6.7,-26.4,7.74,1.89,Negativno,Ne
394,18.486077,77.406649,3.1,-46.3,6.52,3.59,Negativno,Ne
395,18.493711,77.375243,6.8,-45.0,7.57,4.66,Negativno,Ne
396,18.485931,77.37504,5.9,-27.5,6.58,4.13,Negativno,Ne
397,18.490986,77.396639,3.8,-47.2,7.35,0.33,Negativno,Ne
398,18.484797,77.396083,11.4,-76.3,7.25,3.38,Negativno,Ne
399,18.476844,77.397116,10.1,-38.2,7.94,3.13,Negativno,Ne
400,18.483452,77.38771,10.2,-8.9,6.65,7.299367678412054,Pozitivno,Da
401,18.478507,77.36876,5.5,-31.0,7.7,5.92,Negativno,Ne
402,18.475261,77.396039,6.9,-55.6,6.26,3.1,Negativno,Ne
403,18.489842,77.38685,1.3,-48.4,5.76,1.8,Negativno,Ne
404,18.481209,77.386472,0.7,-30.9,7.87,0.16,Negativno,Ne
405,18.47834,77.379734,5.7,-30.5,6.63,4.81,Negativno,Ne
406,18.470805,77.386191,11.6,-66.1,7.32,2.89,Pozitivno,Ne
407,18.472985,77.366782,10.2,-62.2,6.73,0.11,Negativno,Ne
408,18.487207,77.390273,4.1,-34.3,6.75,1.13,Negativno,Ne
409,18.47327,77.396358,8.1,-76.6,7.73,0.64,Negativno,Ne
410,18.489304,77.395205,7.7,-35.9,7.82,0.9,Negativno,Ne
411,18.471544,77.391624,12.8,-58.2,7.64,3.81,Negativno,Ne
412,18.471469,77.40635,10.8,-38.8,7.03,0.94,Pozitivno,Ne
413,18.494158,77.398094,1.8,-61.0,6.86,4.19,Negativno,Ne
414,18.469568,77.399805,13.0,-29.0,7.37,5.85,Negativno,Ne
415,18.479049,77.389337,12.7,-25.0,6.1,2.61,Pozitivno,Ne
416,18.474161,77.385282,2.4,-41.9,7.09,4.04,Negativno,Ne
417,18.482562,77.401013,13.3,-31.1,6.76,3.35,Negativno,Ne
418,18.474544,77.382086,14.1,-52.8,6.77,2.61,Pozitivno,Da
419,18.465729,77.383315,7.5,-45.3,7.05,1.51,Negativno,Ne
420,18.474475,77.385045,14.9,-43.3,6.37,3.9,Negativno,Ne
421,18.482596,77.385832,1.8,-52.7,7.4,1.2,Negativno,Ne
422,18.486121,77.402398,5.8,-66.1,6.75,1.31,Negativno,Ne
423,18.484016,77.389235,1.3,-57.6,6.65,2.94,Negativno,Ne
424,18.479575,77.38935,13.8,-32.7,7.55,5.07,Negativno,Ne
425,18.473889,77.389387,11.0,-39.6,6.29,4.11,Negativno,Ne
426,18.48083,77.397369,9.6,-41.1,7.41,5.29,Negativno,Ne
427,18.47481,77.386442,9.9,-31.9,7.29,2.92,Negativno,Ne
428,18.484267,77.399601,14.2,-51.7,6.97,0.53,Pozitivno,Da
429,18.488817,77.380068,0.1,-40.8,7.1,4.67,Negativno,Ne
430,18.471971,77.394705,14.5,-40.9,6.36,1.49,Negativno,Ne
431,18.460837,77.383956,13.1,-40.4,6.21,1.54,Negativno,Ne
432,18.490988,77.397436,11.3,-55.3,7.03,1.6,Negativno,Ne
433,18.482137,77.399117,14.5,-35.8,6.54,1.58,Negativno,Da
434,18.485862,77.406163,7.4,-40.2,7.14,1.59,Negativno,Ne
435,18.482056,77.38228,5.4,-52.9,6.69,2.48,Negativno,Ne
436,18.476698,77.388873,7.5,-40.8,7.29,3.38,Negativno,Ne
437,18.479142,77.391697,12.8,-21.6,7.31,0.37,Negativno,Ne
438,18.475728,77.384698,3.4,-44.6,6.64,1.46,Negativno,Ne
439,18.471327,77.385505,10.9,-44.3,6.2,5.0,Pozitivno,Ne
440,18.476269,77.386513,14.8,-48.4,7.15,3.66,Negativno,Ne
441,18.489623,77.394641,5.3,-48.6,7.54,2.84,Negativno,Ne
442,18.459677,77.378329,7.7,-44.0,6.31,2.44,Negativno,Ne
443,18.482742,77.386672,12.5,-52.2,6.55,0.43,Negativno,Ne
444,18.493704,77.387183,5.3,-40.0,7.58,4.85,Negativno,Ne
445,18.481209,77.382784,5.1,-43.2,7.18,3.1,Negativno,Ne
446,18.473873,77.392081,6.5,-60.5,7.79,0.73,Negativno,Ne
447,18.47871,77.395327,8.3,-36.1,6.65,0.12,Negativno,Ne
448,18.48405,77.397045,0.4,-31.3,7.23,0.25,Negativno,Ne
449,18.489816,77.381514,1.9,-47.1,6.9,3.6,Negativno,Ne
450,18.465068,77.38224,10.0,-62.9,6.4,4.83,Negativno,Ne
451,18.481644,77.376887,13.6,-63.1,6.23,2.07,Negativno,Ne
452,18.476731,77.393167,8.4,-56.7,7.3,3.71,Negativno,Ne
453,18.476094,77.400878,2.6,-55.2,6.85,2.99,Negativno,Ne
454,18.487465,77.392234,2.2,-72.5,7.1,2.98,Negativno,Da
455,18.488271,77.399296,8.4,-51.9,6.38,5.83,Negativno,Ne
456,18.489789,77.375047,14.1,-61.0,7.42,2.87,Negativno,Ne
457,18.460789,77.396452,14.0,-68.0,7.33,2.6,Negativno,Ne
458,18.485459,77.399339,4.8,-65.9,8.0,5.82,Negativno,Ne
459,18.477444,77.389865,7.4,-37.9,6.73,5.68,Pozitivno,Ne
460,18.486518,77.394764,9.9,-42.7,7.4,4.81,Negativno,Ne
461,18.493453,77.397106,12.5,-31.4,5.94,5.93,Negativno,Ne
462,18.473031,77.394295,14.0,-38.5,6.68,3.61,Negativno,Ne
463,18.487316,77.370014,14.3,-28.3,7.25,5.49,Negativno,Ne
464,18.486927,77.393151,6.2,-45.1,5.96,5.24,Negativno,Ne
465,18.487312,77.385268,1.1,-49.6,6.97,2.57,Negativno,Ne
466,18.475806,77.384413,13.7,-50.2,7.18,5.7,Pozitivno,Ne
467,18.485253,77.400312,10.6,-45.2,8.32,0.62,Negativno,Ne
468,18.464322,77.39667,6.5,-31.1,7.09,1.57,Negativno,Ne
469,18.493139,77.375251,2.2,-12.9,7.31,3.87,Negativno,Ne
470,18.492902,77.394941,11.1,-44.1,7.58,4.17,Negativno,Ne
472,18.482484,77.375113,9.6,-33.2,7.61,4.56,Negativno,Ne
473,18.477743,77.39742,2.3,-52.4,6.59,0.84,Negativno,Ne
474,18.470241,77.400073,11.5,-68.7,6.05,2.66,Negativno,Ne
475,18.47965,77.375603,5.5,-59.7,7.71,2.35,Negativno,Ne
476,18.488424,77.392431,5.3,-58.2,6.8,0.2,Negativno,Ne
477,18.485541,77.37712,4.5,-42.7,7.4,5.18,Negativno,Ne
478,18.501125,77.380958,2.6,-24.7,7.14,4.8,Negativno,Ne
479,18.473229,77.403502,0.3,-49.0,8.16,0.83,Negativno,Ne
480,18.48481,77.396464,6.1,-55.2,7.54,5.85,Negativno,Ne
481,18.467808,77.404322,14.4,-63.6,7.1,5.75,Negativno,Ne
482,18.486861,77.395105,3.6,-41.8,7.09,0.64,Negativno,Ne
483,18.496399,77.379106,12.5,-32.4,7.13,1.4,Negativno,Ne
484,18.485679,77.381886,4.1,-19.6,6.64,1.73,Negativno,Ne
485,18.484789,77.390994,6.5,-52.0,5.98,3.48,Negativno,Ne
486,18.471688,77.407549,7.9,-47.0,6.41,3.34,Negativno,Ne
487,18.469289,77.392265,6.8,-51.2,6.72,0.12,Pozitivno,Ne
488,18.476879,77.391613,11.3,-49.3,5.79,5.92,Negativno,Ne
489,18.4823,77.390621,7.4,-63.4,7.82,3.3,Negativno,Ne
490,18.486692,77.392781,5.8,-75.8,6.86,0.65,Negativno,Ne
491,18.486348,77.36855,1.9,-67.6,6.4,1.85,Pozitivno,Ne
492,18.484606,77.399061,7.5,-45.9,7.23,2.26,Negativno,Ne
493,18.488346,77.382745,7.1,-47.3,6.91,2.81,Negativno,Ne
494,18.476155,77.389884,12.9,-62.5,7.25,3.94,Negativno,Ne
495,18.460243,77.406672,13.3,-67.2,6.96,1.72,Pozitivno,Ne
496,18.487892,77.386989,4.7,-24.7,6.05,4.14,Negativno,Ne
497,18.464588,77.396321,9.4,-61.9,7.38,1.25,Negativno,Ne
498,18.483101,77.380624,4.0,-51.5,6.92,0.75,Negativno,Ne
499,18.480673,77.386153,1.8,-37.6,7.12,2.65,Negativno,Ne
500,18.475274,77.382288,0.2,-40.0,7.42,2.25,Negativno,Da
501,18.470831,77.39168,9.7,-50.3,7.3,4.81,Pozitivno,Ne
502,18.479152,77.371856,1.2,-48.1,6.89,3.38,Negativno,Da
503,18.483735,77.390537,4.0,-82.7,6.69,2.92,Negativno,Ne
504,18.464996,77.399926,13.2,-71.5,6.13,5.12,Negativno,Da
505,18.481341,77.393958,11.8,-71.9,6.89,2.2,Negativno,Ne
506,18.478972,77.380751,11.4,-72.2,6.99,5.23,Pozitivno,Ne
507,18.482284,77.365733,4.0,-42.5,6.85,4.42,Negativno,Ne
508,18.492142,77.38695,10.6,-35.4,7.12,1.95,Negativno,Ne
509,18.490792,77.390601,9.1,-14.3,6.65,4.54,Negativno,Ne
510,18.502053,77.386745,8.6,-12.0,6.48,4.49,Negativno,Da
511,18.47308,77.376195,4.3,-38.0,7.29,1.43,Negativno,Ne
512,18.477585,77.385857,5.5,-56.3,7.63,0.58,Negativno,Ne
513,18.484111,77.382257,12.3,-41.6,5.86,3.91,Negativno,Ne
514,18.471969,77.3772,11.4,-54.1,6.86,3.6,Negativno,Ne
515,18.488511,77.392273,0.4,-58.7,6.11,1.76,Negativno,Ne
516,18.475034,77.390947,6.0,-64.4,7.44,0.3,Negativno,Ne
517,18.487869,77.389417,7.0,-30.2,6.78,4.01,Negativno,Ne
518,18.481181,77.400262,2.3,-56.1,7.52,4.12,Negativno,Ne
519,18.472066,77.402715,2.0,-34.4,6.01,5.22,Negativno,Ne
520,18.488738,77.393232,3.1,-47.5,7.4,1.02,Negativno,Ne
521,18.474611,77.411796,11.9,-51.9,7.05,4.54,Pozitivno,Ne
522,18.482949,77.373455,9.8,-40.2,7.32,3.54,Negativno,Ne
523,18.483756,77.3973,10.2,-28.2,7.17,0.47,Negativno,Da
524,18.484363,77.385033,2.0,-53.7,7.21,2.87,Negativno,Ne
525,18.473314,77.368723,2.3,-59.4,7.34,2.5,Negativno,Ne
526,18.501288,77.376742,2.4,-43.8,6.53,5.62,Negativno,Ne
527,18.472158,77.382365,1.8,-52.7,7.07,5.89,Negativno,Ne
528,18.476062,77.405683,4.1,-27.7,7.2,5.03,Negativno,Ne
529,18.469302,77.385319,10.9,-6.2,6.95,9.190217924749078,Pozitivno,Da
530,18.493676,77.387319,11.4,-35.8,7.25,0.61,Negativno,Ne
531,18.480624,77.375157,12.5,-55.5,6.64,0.82,Negativno,Ne
532,18.480851,77.407629,14.6,-45.8,7.25,0.15,Negativno,Ne
533,18.469514,77.388356,6.3,-47.8,6.79,5.06,Negativno,Ne
534,18.492025,77.38941,4.7,-59.1,6.96,2.78,Negativno,Ne
535,18.481239,77.422973,5.8,-36.5,5.81,3.67,Negativno,Ne
536,18.478621,77.405613,8.2,-68.9,6.82,2.8,Negativno,Ne
537,18.491665,77.375893,0.7,-65.7,7.4,0.73,Negativno,Ne
538,18.474418,77.38788,9.2,-53.3,6.79,3.12,Negativno,Ne
539,18.495002,77.395043,0.4,-73.1,7.04,3.57,Negativno,Ne
540,18.486434,77.385004,8.8,-76.2,7.4,4.71,Negativno,Ne
541,18.469904,77.384005,1.9,-14.4,7.1,3.9902179247490768,Pozitivno,Da
542,18.481845,77.38836,2.8,-47.9,7.5,5.93,Negativno,Ne
543,18.474711,77.378601,8.6,-38.6,7.09,3.99,Pozitivno,Ne
544,18.475449,77.383964,12.8,-37.8,6.91,5.32,Negativno,Ne
545,18.477036,77.395307,8.6,-36.8,6.78,5.44,Negativno,Ne
546,18.4854,77.381588,8.4,-52.8,7.45,3.9,Negativno,Ne
547,18.473643,77.38333,9.6,-50.4,7.17,1.88,Negativno,Ne
548,18.464271,77.38835,6.6,-30.4,6.44,4.55,Negativno,Ne
549,18.474735,77.402331,12.6,-47.9,7.09,5.31,Negativno,Ne
550,18.477283,77.370544,9.5,-50.0,6.51,2.99,Negativno,Ne
551,18.479416,77.400669,4.9,-53.8,6.99,3.65,Negativno,Ne
552,18.47776,77.383456,8.3,-57.0,6.98,0.37,Pozitivno,Ne
553,18.492007,77.393917,11.1,-56.8,7.12,1.57,Negativno,Ne
554,18.484774,77.397945,5.1,-44.9,7.19,0.88,Negativno,Ne
555,18.483972,77.390532,9.5,-42.2,6.84,0.55,Negativno,Ne
556,18.485134,77.394795,0.5,-45.3,7.28,0.39,Negativno,Ne
557,18.474093,77.392301,8.3,-22.4,6.88,4.46,Negativno,Ne
558,18.474312,77.386094,9.6,-44.6,7.22,2.13,Negativno,Ne
559,18.473481,77.383505,15.0,-49.2,6.92,0.53,Negativno,Ne
560,18.483269,77.393918,3.9,-41.4,6.64,2.42,Pozitivno,Ne
561,18.502736,77.358624,0.6,-48.3,7.6,0.15,Negativno,Ne
562,18.475921,77.383111,11.4,-18.3,7.18,4.59,Negativno,Ne
563,18.501221,77.383568,1.3,-48.9,7.8,2.73,Pozitivno,Ne
564,18.49927,77.393563,13.4,-53.1,6.74,5.96,Pozitivno,Ne
565,18.470928,77.40158,5.7,-54.5,6.96,4.29,Negativno,Ne
566,18.484729,77.375884,4.1,-46.3,6.33,2.33,Negativno,Ne
567,18.486884,77.378023,2.9,-38.1,6.86,2.25,Negativno,Ne
568,18.483744,77.392616,4.3,-54.9,5.99,2.51,Negativno,Ne
569,18.487773,77.390043,6.5,-65.1,7.35,4.74,Negativno,Da
570,18.478398,77.397257,11.7,-62.9,7.0,1.09,Negativno,Ne
571,18.473967,77.383613,10.6,-51.3,6.87,4.14,Negativno,Ne
572,18.494287,77.393469,14.2,-67.6,6.84,1.64,Negativno,Ne
573,18.485537,77.38908,5.1,-5.0,7.15,8.789367678412054,Pozitivno,Da
574,18.468563,77.399184,3.5,-49.7,6.68,3.63,Negativno,Ne
575,18.478757,77.38183,11.8,-33.0,5.94,0.36,Negativno,Ne
576,18.483187,77.388503,5.7,-35.1,6.79,4.64,Negativno,Da
577,18.486778,77.398069,4.9,-41.3,7.08,2.15,Negativno,Ne
578,18.484693,77.378218,6.4,-15.7,7.29,6.131932953487157,Pozitivno,Da
579,18.462563,77.395353,13.3,-71.5,6.92,5.2,Negativno,Ne
580,18.470845,77.381467,1.7,-58.0,7.17,5.15,Negativno,Ne
581,18.486196,77.393634,0.5,-11.2,6.92,2.48,Negativno,Ne
582,18.501661,77.395826,0.4,-65.2,7.11,2.56,Pozitivno,Ne
583,18.484551,77.394952,5.7,-49.4,6.01,3.12,Negativno,Ne
584,18.465431,77.379079,9.1,-50.4,6.44,2.99,Negativno,Ne
585,18.479351,77.388201,11.8,-52.5,7.56,0.62,Negativno,Ne
586,18.483662,77.402599,3.6,-48.5,6.43,1.03,Negativno,Ne
587,18.478847,77.362794,3.0,-44.4,6.25,5.4,Negativno,Ne
588,18.493569,77.379488,3.5,-56.1,7.67,3.12,Negativno,Ne
589,18.487606,77.376056,2.2,-16.3,6.93,4.15,Negativno,Ne
590,18.489027,77.398089,5.5,-50.1,7.07,1.29,Negativno,Ne
591,18.472614,77.392011,4.2,-46.9,6.44,5.6,Negativno,Ne
592,18.490671,77.374988,3.4,-67.0,6.63,2.41,Pozitivno,Ne
593,18.486121,77.397241,1.2,-73.3,6.06,2.76,Negativno,Ne
594,18.465199,77.374384,5.2,-50.2,7.89,2.84,Pozitivno,Ne
595,18.46546,77.395315,11.7,-68.3,7.47,2.99,Negativno,Ne
596,18.487929,77.382126,5.6,-51.7,6.5,1.25,Negativno,Ne
597,18.487637,77.380957,3.8,-49.4,7.25,3.3,Negativno,Ne
598,18.483189,77.381832,1.6,-63.8,7.27,4.65,Negativno,Ne
599,18.480114,77.398087,7.7,-72.3,6.72,4.43,Negativno,Ne
600,18.47114,77.390798,7.0,-28.9,7.39,1.71,Negativno,Ne
601,18.481235,77.404513,2.2,-42.3,6.52,4.86,Negativno,Ne
602,18.478719,77.409788,0.4,-65.0,7.42,5.48,Negativno,Ne
603,18.499286,77.405533,8.9,-45.3,7.43,4.58,Negativno,Ne
604,18.470787,77.394245,12.4,-67.8,7.55,5.27,Negativno,Ne
605,18.47883,77.383899,11.9,-41.8,7.6,2.51,Negativno,Ne
606,18.478552,77.38953,14.9,-27.7,6.44,3.0,Negativno,Ne
607,18.466261,77.387914,14.3,-67.3,8.48,2.55,Negativno,Ne
608,18.487691,77.396856,6.2,-38.8,6.79,4.09,Negativno,Ne
609,18.491315,77.376531,3.9,-82.6,7.31,3.66,Negativno,Ne
610,18.459561,77.399267,13.4,-60.5,6.47,3.41,Pozitivno,Ne
611,18.474787,77.378138,5.4,-15.7,7.04,3.82,Negativno,Ne
612,18.471689,77.390287,3.1,-58.0,7.08,1.98,Negativno,Ne
613,18.467563,77.398814,10.1,-53.9,7.35,0.62,Negativno,Ne
614,18.477363,77.389604,14.4,-65.6,6.96,3.64,Negativno,Ne
615,18.485292,77.379384,11.6,-18.7,6.58,6.531932953487157,Pozitivno,Da
616,18.481085,77.378489,12.2,-57.2,7.35,4.64,Negativno,Ne
617,18.48838,77.380129,14.7,-47.5,8.15,4.19,Negativno,Ne
618,18.483207,77.381616,2.7,-58.8,6.6,1.16,Negativno,Ne
619,18.480014,77.390792,4.1,-67.0,6.72,2.11,Negativno,Ne
620,18.46914,77.407653,4.5,-23.5,6.59,2.67,Negativno,Da
621,18.477263,77.394229,2.0,-60.8,7.15,3.49,Negativno,Ne
622,18.485546,77.381288,2.7,-18.2,7.19,11.471932953487157,Pozitivno,Da
623,18.479682,77.384805,1.2,-43.9,7.42,4.54,Negativno,Ne
624,18.479635,77.390923,2.0,-45.4,6.75,0.13,Negativno,Ne
625,18.486793,77.388779,12.0,-13.4,7.11,5.239367678412054,Pozitivno,Da
626,18.483722,77.390977,7.3,-55.5,6.39,2.79,Negativno,Ne
627,18.477102,77.401867,2.0,-69.4,7.29,1.81,Negativno,Ne
628,18.491536,77.399489,9.5,-31.3,6.9,1.04,Negativno,Ne
630,18.4715,77.413745,1.3,-45.8,5.67,2.01,Negativno,Ne
631,18.477054,77.399204,8.6,-38.4,7.25,5.8,Negativno,Ne
632,18.463164,77.38426,10.4,-45.9,7.68,5.2,Pozitivno,Ne
633,18.472996,77.384322,10.2,-34.6,6.25,2.64,Negativno,Ne
634,18.474034,77.386329,12.5,-56.8,7.33,0.32,Negativno,Ne
635,18.470117,77.39042,13.9,-50.3,7.76,1.7,Negativno,Ne
636,18.484763,77.396654,9.4,-43.9,7.55,3.1,Negativno,Ne
637,18.490109,77.395418,14.9,-31.9,6.83,1.71,Negativno,Ne
638,18.485759,77.39186,8.5,-54.2,6.57,1.89,Negativno,Ne
639,18.488995,77.384113,14.4,-37.1,6.64,5.92,Negativno,Ne
640,18.48067,77.416931,2.9,-49.8,6.97,3.68,Negativno,Ne
641,18.451092,77.395998,9.8,-32.2,7.21,5.35,Negativno,Ne
642,18.485944,77.381452,5.6,-59.2,6.47,4.81,Negativno,Ne
643,18.49294,77.383673,14.3,-41.5,6.96,5.18,Negativno,Ne
644,18.469459,77.364577,10.3,-50.1,7.51,0.44,Negativno,Ne
645,18.506412,77.402293,1.5,-64.6,7.44,0.61,Negativno,Ne
646,18.480578,77.386851,14.9,-50.1,7.16,5.94,Negativno,Ne
647,18.487854,77.413666,2.5,-62.6,7.4,3.11,Negativno,Da
648,18.473345,77.389661,5.6,-76.1,5.82,2.37,Negativno,Ne
649,18.48817,77.369559,8.7,-57.4,6.92,0.36,Negativno,Ne
650,18.474221,77.40893,1.1,-61.7,6.84,2.95,Negativno,Ne
651,18.490747,77.393809,4.0,-71.4,7.06,4.98,Negativno,Ne
652,18.501682,77.384763,11.6,-33.1,7.06,4.7,Negativno,Ne
653,18.47928,77.388036,5.8,-65.9,7.08,2.02,Negativno,Ne
654,18.493542,77.379666,2.9,-41.8,7.47,2.48,Negativno,Ne
655,18.481682,77.383113,7.9,-49.5,6.94,5.3,Negativno,Ne
656,18.469575,77.393069,14.4,-33.3,7.52,3.15,Negativno,Ne
657,18.488098,77.398728,13.9,-35.1,6.36,4.08,Negativno,Ne
658,18.476561,77.376282,1.2,-73.5,6.49,5.18,Negativno,Ne
659,18.484429,77.392547,6.8,-38.9,6.19,4.53,Negativno,Ne
660,18.501923,77.398408,10.9,-53.5,7.19,5.6,Negativno,Ne
661,18.486809,77.380721,6.8,-33.5,6.58,2.47,Negativno,Ne
662,18.469126,77.379035,12.8,-57.5,7.32,0.62,Negativno,Ne
663,18.484955,77.383482,4.7,-83.6,7.25,5.87,Negativno,Ne
664,18.472049,77.396767,2.9,-61.3,7.63,1.39,Negativno,Ne
665,18.468433,77.40109,5.1,-60.3,6.01,4.4,Negativno,Ne
666,18.469645,77.383186,6.9,-59.0,8.08,3.48,Negativno,Ne
667,18.476776,77.394566,7.7,-26.2,7.7,3.29,Negativno,Ne
668,18.475002,77.398872,7.9,-57.3,6.83,4.54,Negativno,Ne
669,18.468867,77.384307,6.4,-7.9,7.24,8.740217924749077,Pozitivno,Da
670,18.475277,77.382501,10.5,-48.4,7.25,5.13,Negativno,Ne
671,18.480989,77.382333,11.0,-60.9,7.26,3.05,Negativno,Ne
672,18.475678,77.393526,11.1,-31.5,6.74,2.81,Negativno,Ne
673,18.475073,77.379571,10.3,-69.7,6.44,1.78,Negativno,Da
674,18.48719,77.385928,5.8,-49.8,7.25,4.85,Negativno,Ne
675,18.473284,77.370653,14.8,-64.5,7.75,1.05,Negativno,Ne
676,18.473917,77.396274,1.6,-35.8,7.59,3.65,Negativno,Ne
677,18.475778,77.381219,11.9,-47.1,6.95,2.44,Negativno,Ne
678,18.483647,77.378259,6.5,-8.6,6.63,8.261932953487158,Pozitivno,Da
679,18.494603,77.388547,10.4,-75.5,6.65,4.35,Negativno,Ne
680,18.477647,77.404005,11.4,-50.6,7.93,2.12,Negativno,Ne
681,18.480541,77.361674,9.7,-43.5,6.45,3.34,Negativno,Ne
682,18.475045,77.404516,8.1,-51.4,7.17,5.98,Negativno,Ne
683,18.489994,77.377152,5.0,-46.9,7.37,5.79,Negativno,Ne
684,18.475798,77.38969,14.0,-70.9,6.42,1.6,Negativno,Ne
685,18.486002,77.389503,6.0,-42.1,7.36,3.85,Negativno,Ne
686,18.481632,77.389711,4.5,-48.2,6.0,1.99,Pozitivno,Ne
687,18.495086,77.391019,0.7,-37.3,6.91,2.48,Negativno,Ne
688,18.484179,77.39996,13.8,-59.2,6.39,5.55,Negativno,Ne
689,18.473056,77.393619,11.1,-57.9,6.99,0.94,Negativno,Ne
690,18.494639,77.392368,8.1,-44.9,6.65,0.22,Negativno,Da
691,18.478111,77.402168,4.1,-26.1,6.79,2.97,Negativno,Ne
692,18.472932,77.389041,2.7,-31.0,6.97,2.91,Negativno,Ne
693,18.48599,77.385645,9.5,-6.2,6.77,7.5993676784120545,Pozitivno,Da
694,18.479964,77.394445,6.7,-49.3,6.84,4.55,Negativno,Ne
695,18.482178,77.368447,10.4,-57.3,6.6,1.46,Negativno,Ne
696,18.507647,77.400569,5.8,-36.8,7.31,2.58,Negativno,Ne
697,18.484195,77.377338,1.7,-64.4,6.5,2.07,Negativno,Ne
698,18.471726,77.392312,13.9,-34.5,6.7,5.77,Negativno,Ne
699,18.489098,77.389615,8.5,-31.0,7.54,3.72,Negativno,Ne
700,18.48232,77.392864,0.4,-28.9,6.98,5.71,Negativno,Ne
701,18.473633,77.389522,7.2,-32.9,7.01,0.73,Negativno,Ne
702,18.480918,77.396381,0.4,-28.5,6.81,2.95,Negativno,Ne
703,18.488216,77.40147,5.5,-33.7,6.36,4.19,Negativno,Ne
704,18.473786,77.368689,3.2,-45.1,6.73,1.41,Negativno,Ne
705,18.471278,77.410551,2.9,-56.0,6.75,0.2,Negativno,Ne
706,18.474318,77.386507,3.8,-46.8,7.66,5.62,Negativno,Ne
707,18.472065,77.38911,1.7,-59.4,6.64,4.58,Negativno,Ne
708,18.488387,77.409157,10.9,-67.0,6.86,0.13,Negativno,Ne
709,18.476346,77.389808,6.0,-42.5,7.35,4.5,Negativno,Ne
710,18.474627,77.381591,3.9,-28.0,7.08,2.98,Negativno,Ne
711,18.487067,77.379131,1.5,-10.1,6.89,9.871932953487155,Pozitivno,Da
712,18.476246,77.381444,7.9,-51.8,6.26,0.75,Negativno,Ne
713,18.479773,77.394075,13.1,-43.5,6.67,0.31,Pozitivno,Ne
714,18.471437,77.388665,14.1,-74.3,7.03,0.41,Negativno,Ne
715,18.474833,77.398644,1.3,-35.9,6.92,5.46,Pozitivno,Ne
716,18.484836,77.381794,8.9,-51.9,7.03,0.32,Negativno,Ne
717,18.475566,77.385347,2.8,-79.6,7.35,1.93,Negativno,Ne
718,18.46064,77.365539,1.1,-57.0,7.24,2.61,Negativno,Ne
719,18.472139,77.377385,10.1,-42.7,7.41,3.9,Negativno,Ne
720,18.468659,77.375938,1.8,-78.1,6.26,5.91,Negativno,Ne
721,18.489591,77.394804,1.3,-29.2,7.29,5.5,Negativno,Ne
722,18.479503,77.391013,7.4,-46.4,7.15,2.37,Negativno,Ne
723,18.487204,77.384553,3.0,-60.7,6.45,1.68,Negativno,Ne
724,18.479628,77.380028,5.0,-27.0,6.97,0.69,Negativno,Ne
725,18.473,77.39479,9.5,-47.9,6.86,5.63,Negativno,Ne
726,18.493322,77.384844,13.4,-30.5,7.38,3.09,Negativno,Ne
